,,,,,,,,,,,,Party,,,,,,,,,,,test,,
CO-03,Colorado,CO,8,84,62,US House,3,Scott R. Tipton,Republican,FALSE,Diane Mitsch Bush,Democrat,FALSE,total,146426,336189,FALSE,20200424,44,52,,,,44,52
CO-04,Colorado,CO,8,84,62,US House,4,Ken Buck,Republican,FALSE,Karen McCormick,Democrat,FALSE,total,145544,369582,FALSE,20200424,39,61,,,,39,61
CO-05,Colorado,CO,8,84,62,US House,5,Doug Lamborn,Republican,FALSE,Stephany Rose Spaulding,Democrat,FALSE,total,126848,322645,FALSE,20200424,39,57,,,,39,57
CO-06,Colorado,CO,8,84,62,US House,6,Mike Coffman,Republican,FALSE,Jason Crow,Democrat,FALSE,total,187639,346817,FALSE,20200424,54,43,,,,54,43
CO-07,Colorado,CO,8,84,62,US House,7,Mark Barrington,Republican,FALSE,Ed Perlmutter,Democrat,FALSE,total,204260,338006,FALSE,20200424,60,35,,,,60,35
CT-01,Connecticut,CT,9,16,1,US House,1,Jennifer T Nye,Republican,FALSE,John B Larson,Democrat,FALSE,total,166155,274140,FALSE,20200424,61,35,,,,61,35
CT-02,Connecticut,CT,9,16,1,US House,2,Danny Postemski Jr,Republican,FALSE,Joe Courtney,Democrat,FALSE,total,167659,289114,FALSE,20200424,58,35,,,,58,35
CT-03,Connecticut,CT,9,16,1,US House,3,Angel Cadena,Republican,FALSE,Rosa L DeLauro,Democrat,FALSE,total,163211,270239,FALSE,20200424,64,35,,,,64,35
CT-04,Connecticut,CT,9,16,1,US House,4,Harry Arora,Republican,FALSE,Jim Himes,Democrat,FALSE,total,168726,275651,FALSE,20200424,61,37,,,,61,37
CT-05,Connecticut,CT,9,16,1,US House,5,Manny Santos,Republican,FALSE,Jahana Hayes,Democrat,FALSE,total,142901,270664,FALSE,20200424,53,43,,,,53,43
DE-AL,Delaware,DE,10,51,11,US House,0,Scott Walker,Republican,FALSE,Lisa Blunt Rochester,Democrat,FALSE,total,227353,352737,FALSE,20200424,64,36,,,,64,36
FL-01,Florida,FL,12,59,43,US House,1,Matt Gaetz,Republican,FALSE,Jennifer M. Zimmerman,Democrat,FALSE,total,106199,322388,FALSE,20200424,33,67,,,,33,67
FL-02,Florida,FL,12,59,43,US House,2,Neal Dunn,Republican,FALSE,Bob Rackleff,Democrat,FALSE,total,96233,295568,FALSE,20200424,33,67,,,,33,67
FL-03,Florida,FL,12,59,43,US House,3,Ted Yoho,Republican,FALSE,Yvonne Hayes Hinson,Democrat,FALSE,total,129880,306496,FALSE,20200424,42,58,,,,42,58
FL-04,Florida,FL,12,59,43,US House,4,John H. Rutherford,Republican,FALSE,George 'Ges' Selmont,Democrat,FALSE,total,123351,381249,FALSE,20200424,32,65,,,,32,65
FL-05,Florida,FL,12,59,43,US House,5,Virginia Fuller,Republican,FALSE,Al Lawson,Democrat,FALSE,total,180527,270326,FALSE,20200424,67,33,,,,67,33
FL-06,Florida,FL,12,59,43,US House,6,Michael Waltz,Republican,FALSE,Nancy Soderberg,Democrat,FALSE,total,145758,333649,FALSE,20200424,44,56,,,,44,56
FL-07,Florida,FL,12,59,43,US House,7,Mike Miller,Republican,FALSE,Stephanie Murphy,Democrat,FALSE,total,183113,317398,FALSE,20200424,58,42,,,,58,42
FL-08,Florida,FL,12,59,43,US House,8,Bill Posey,Republican,FALSE,Sanjay Patel,Democrat,FALSE,total,142415,360527,FALSE,20200424,40,60,,,,40,60
FL-09,Florida,FL,12,59,43,US House,9,Wayne Liebnitzky,Republican,FALSE,Darren Soto,Democrat,FALSE,total,172172,296737,FALSE,20200424,58,42,,,,58,42
FL-10,Florida,FL,12,59,43,US House,10,No Major Opponent,,FALSE,Val Demings,Democrat,FALSE,total,1,1,FALSE,20200424,100,100,,,*,100,100
FL-11,Florida,FL,12,59,43,US House,11,Daniel Webster,Republican,FALSE,Dana Cottrell,Democrat,FALSE,total,128053,367506,FALSE,20200424,35,65,,,,35,65
FL-12,Florida,FL,12,59,43,US House,12,Gus Michael Bilirakis,Republican,FALSE,Chris Hunter,Democrat,FALSE,total,132844,334918,FALSE,20200424,40,58,,,,40,58
FL-13,Florida,FL,12,59,43,US House,13,George Buck,Republican,FALSE,Charlie Crist,Democrat,FALSE,total,182717,316971,FALSE,20200424,58,42,,,,58,42
FL-14,Florida,FL,12,59,43,US House,14,No Major Opponent,,FALSE,Kathy Castor,Democrat,FALSE,total,1,1,FALSE,20200424,100,100,,,*,100,100
FL-15,Florida,FL,12,59,43,US House,15,Ross Spano,Republican,FALSE,Kristen Carlson,Democrat,FALSE,total,134132,285532,FALSE,20200424,47,53,,,,47,53
FL-16,Florida,FL,12,59,43,US House,16,Vern Buchanan,Republican,FALSE,David Shapiro,Democrat,FALSE,total,164463,361946,FALSE,20200424,45,55,,,,45,55
FL-17,Florida,FL,12,59,43,US House,17,Greg Steube,Republican,FALSE,Allen Ellison,Democrat,FALSE,total,117194,310520,FALSE,20200424,38,62,,,,38,62
FL-18,Florida,FL,12,59,43,US House,18,Brian Mast,Republican,FALSE,Lauren Baer,Democrat,FALSE,total,156454,342359,FALSE,20200424,46,54,,,,46,54
FL-19,Florida,FL,12,59,43,US House,19,Francis Rooney,Republican,FALSE,David Holden,Democrat,FALSE,total,128106,339607,FALSE,20200424,38,62,,,,38,62
FL-20,Florida,FL,12,59,43,US House,20,No Major Opponent,,FALSE,Alcee L. Hastings,Democrat,FALSE,total,202659,202824,FALSE,20200424,100,100,,,*,100,100
FL-21,Florida,FL,12,59,43,US House,21,No Major Opponent,,FALSE,Lois Frankel,Democrat,FALSE,total,1,1,FALSE,20200424,100,100,,,*,100,100
FL-22,Florida,FL,12,59,43,US House,22,Nicolas Kimaz,Republican,FALSE,Ted Deutch,Democrat,FALSE,total,184634,297683,FALSE,20200424,62,38,,,,62,38
FL-23,Florida,FL,12,59,43,US House,23,Joseph 'Joe' Kaufman,Republican,FALSE,Debbie Wasserman Schultz,Democrat,FALSE,total,161611,276366,FALSE,20200424,58,36,,,,58,36
FL-24,Florida,FL,12,59,43,US House,24,No Major Opponent,,FALSE,Frederica Wilson,Democrat,FALSE,total,1,1,FALSE,20200424,100,100,,,*,100,100
FL-25,Florida,FL,12,59,43,US House,25,Mario Diaz-Balart,Republican,FALSE,Mary Barzee Flores,Democrat,FALSE,total,84173,212845,FALSE,20200424,40,60,,,,40,60
FL-26,Florida,FL,12,59,43,US House,26,Carlos Curbelo,Republican,FALSE,Debbie Mucarsel-Powell,Democrat,FALSE,total,119797,235475,FALSE,20200424,51,49,,,,51,49
FL-27,Florida,FL,12,59,43,US House,27,Maria Elvira Salazar,Republican,FALSE,Donna Shalala,Democrat,FALSE,total,130743,252586,FALSE,20200424,52,46,,,,52,46
GA-01,Georgia,GA,13,58,44,US House,1,"Earl L. """"""""Buddy"""""""" Carter",Republican,FALSE,Lisa M. Ring,Democrat,FALSE,total,105942,250683,FALSE,20200424,42,58,,,,42,58
GA-02,Georgia,GA,13,58,44,US House,2,Herman West Jr,Republican,FALSE,Sanford Bishop,Democrat,FALSE,total,136699,229171,FALSE,20200424,60,40,,,,60,40
GA-03,Georgia,GA,13,58,44,US House,3,Drew Ferguson,Republican,FALSE,Chuck Enderlin,Democrat,FALSE,total,101010,293006,FALSE,20200424,34,66,,,,34,66
GA-04,Georgia,GA,13,58,44,US House,4,Joe Profit,Republican,FALSE,"Henry C """"""""Hank"""""""" Johnson Jr",Democrat,FALSE,total,227717,288809,FALSE,20200424,79,21,,,,79,21
GA-05,Georgia,GA,13,58,44,US House,5,No Major Opponent,,FALSE,John R. Lewis,Democrat,FALSE,total,275406,275406,FALSE,20200424,100,100,,,*,100,100
GA-06,Georgia,GA,13,58,44,US House,6,Karen Handel,Republican,FALSE,Lucy McBath,Democrat,FALSE,total,160139,317014,FALSE,20200424,51,49,,,,51,49
GA-07,Georgia,GA,13,58,44,US House,7,Rob Woodall,Republican,FALSE,Carolyn Bourdeaux,Democrat,FALSE,total,140011,280441,FALSE,20200424,50,50,,,,50,50
GA-09,Georgia,GA,13,58,44,US House,9,Doug Collins,Republican,FALSE,Josh McCall,Democrat,FALSE,total,57912,282573,FALSE,20200424,20,80,,,,20,80
GA-10,Georgia,GA,13,58,44,US House,10,Jody Hice,Republican,FALSE,Tabitha A. Johnson-Green,Democrat,FALSE,total,112339,302735,FALSE,20200424,37,63,,,,37,63
GA-11,Georgia,GA,13,58,44,US House,11,Barry Loudermilk,Republican,FALSE,Flynn D. Broady Jr,Democrat,FALSE,total,118653,310540,FALSE,20200424,38,62,,,,38,62
GA-12,Georgia,GA,13,58,44,US House,12,Rick W. Allen,Republican,FALSE,Francys Johnson,Democrat,FALSE,total,101503,250489,FALSE,20200424,41,59,,,,41,59
GA-13,Georgia,GA,13,58,44,US House,13,David Callahan,Republican,FALSE,David Scott,Democrat,FALSE,total,223157,292917,FALSE,20200424,76,24,,,,76,24
GA-14,Georgia,GA,13,58,44,US House,14,Tom Graves,Republican,FALSE,Steven Lamar Foster,Democrat,FALSE,total,53981,229724,FALSE,20200424,23,77,,,,23,77
HI-01,Hawaii,HI,15,95,82,US House,1,Cam Cavasso,Republican,FALSE,Ed Case,Democrat,FALSE,total,134650,184211,FALSE,20200424,73,23,,,,73,23
HI-02,Hawaii,HI,15,95,82,US House,2,Brian Evans,Republican,FALSE,Tulsi Gabbard,Democrat,FALSE,total,153271,198121,FALSE,20200424,77,23,,,,77,23
IA-01,Iowa,IA,19,42,31,US House,1,Rod Blum,Republican,FALSE,Abby Finkenauer,Democrat,FALSE,total,170342,334243,FALSE,20200424,51,46,,,,51,46
IA-02,Iowa,IA,19,42,31,US House,2,Christopher Peters,Republican,FALSE,Dave Loebsack,Democrat,FALSE,total,171446,312913,FALSE,20200424,55,43,,,,55,43
IA-03,Iowa,IA,19,42,31,US House,3,David Young,Republican,FALSE,Cindy Axne,Democrat,FALSE,total,175642,356241,FALSE,20200424,49,47,,,,49,47
IA-04,Iowa,IA,19,42,31,US House,4,Steve King,Republican,FALSE,J.D. Scholten,Democrat,FALSE,total,147246,313251,FALSE,20200424,47,50,,,,47,50
ID-01,Idaho,ID,16,82,63,US House,1,Russ Fulcher,Republican,FALSE,Cristina McNeil,Democrat,FALSE,total,96922,315069,FALSE,20200424,31,63,,,,31,63
ID-02,Idaho,ID,16,82,63,US House,2,Mike Simpson,Republican,FALSE,Aaron Swisher,Democrat,FALSE,total,110381,280655,FALSE,20200424,39,61,,,,39,61
IL-01,Illinois,IL,17,33,21,US House,1,"Jimmy Lee Tillman, Ii",Republican,FALSE,Bobby L. Rush,Democrat,FALSE,total,189560,257885,FALSE,20200424,74,20,,,,74,20
IL-02,Illinois,IL,17,33,21,US House,2,David Merkle,Republican,FALSE,Robin Kelly,Democrat,FALSE,total,190684,235251,FALSE,20200424,81,19,,,,81,19
IL-03,Illinois,IL,17,33,21,US House,3,Arthur J. Jones,Republican,FALSE,Daniel William Lipinski,Democrat,FALSE,total,163053,223334,FALSE,20200424,73,26,,,,73,26
IL-04,Illinois,IL,17,33,21,US House,4,Mark Wayne Lorch,Republican,FALSE,Jesus \Chuy\ Garcia,Democrat,FALSE,total,143895,166189,FALSE,20200424,87,13,,,,87,13
IL-05,Illinois,IL,17,33,21,US House,5,Tom Hanson,Republican,FALSE,Mike Quigley,Democrat,FALSE,total,213992,279131,FALSE,20200424,77,23,,,,77,23
IL-06,Illinois,IL,17,33,21,US House,6,Peter J. Roskam,Republican,FALSE,Sean Casten,Democrat,FALSE,total,169001,315446,FALSE,20200424,54,46,,,,54,46
IL-07,Illinois,IL,17,33,21,US House,7,Craig Cameron,Republican,FALSE,Danny K. Davis,Democrat,FALSE,total,215746,246243,FALSE,20200424,88,12,,,,88,12
IL-08,Illinois,IL,17,33,21,US House,8,Jitendra \Jd\ Diganvker,Republican,FALSE,Raja Krishnamoorthi,Democrat,FALSE,total,130054,197127,FALSE,20200424,66,34,,,,66,34
IL-09,Illinois,IL,17,33,21,US House,9,John D. Elleson,Republican,FALSE,Janice D. Schakowsky,Democrat,FALSE,total,213368,290351,FALSE,20200424,73,27,,,,73,27
IL-10,Illinois,IL,17,33,21,US House,10,Douglas R. Bennett,Republican,FALSE,Brad Schneider,Democrat,FALSE,total,156540,238664,FALSE,20200424,66,34,,,,66,34
IL-11,Illinois,IL,17,33,21,US House,11,Nick Stella,Republican,FALSE,Bill Foster,Democrat,FALSE,total,145407,227765,FALSE,20200424,64,36,,,,64,36
IL-12,Illinois,IL,17,33,21,US House,12,Mike Bost,Republican,FALSE,Brendan Kelly,Democrat,FALSE,total,118724,261543,FALSE,20200424,45,52,,,,45,52
IL-13,Illinois,IL,17,33,21,US House,13,Rodney Davis,Republican,FALSE,Betsy Dirksen Londrigan,Democrat,FALSE,total,134458,270981,FALSE,20200424,50,50,,,,50,50
IL-14,Illinois,IL,17,33,21,US House,14,Randall M. \Randy\ Hultgren,Republican,FALSE,Lauren Underwood,Democrat,FALSE,total,156035,297199,FALSE,20200424,53,47,,,,53,47
